,loss,accuracy,iou_score,val_loss,val_accuracy,val_iou_score
0,0.9487719535827637,0.9338463544845581,0.211674302816391,0.9332014322280884,0.9039102792739868,0.23678487539291382
1,0.927155077457428,0.9376990795135498,0.27828025817871094,0.9352351427078247,0.8783308863639832,0.28582391142845154
2,0.9165104627609253,0.9459133744239807,0.3147558271884918,0.9253072142601013,0.9003707766532898,0.2987041473388672
3,0.9050581455230713,0.9479830265045166,0.34790220856666565,0.9200164675712585,0.9070409536361694,0.3120141625404358
4,0.8924797773361206,0.9561548829078674,0.3997732400894165,0.9130828976631165,0.8834957480430603,0.3479786217212677
5,0.8818052411079407,0.9603833556175232,0.43299001455307007,0.9140892624855042,0.8753706216812134,0.3444584608078003
6,0.8773158192634583,0.9610277414321899,0.4458674192428589,0.8952504992485046,0.927452027797699,0.39085713028907776
7,0.8700056076049805,0.9652870893478394,0.4661290645599365,0.8794528245925903,0.9572573304176331,0.4331127107143402
8,0.8665677309036255,0.9665071368217468,0.47556543350219727,0.877130925655365,0.9544332027435303,0.4429817497730255
9,0.8620760440826416,0.96885746717453,0.49029138684272766,0.8755010366439819,0.9562724828720093,0.4498732089996338
