,loss,accuracy,iou_score,val_loss,val_accuracy,val_iou_score,lr
0,0.9284073710441589,0.9332749247550964,0.23581019043922424,0.9367311000823975,0.9075326323509216,0.2170434445142746,5e-05
1,0.9163075685501099,0.9495400786399841,0.287931889295578,0.9209147095680237,0.9201677441596985,0.3031295835971832,5e-05
2,0.910864531993866,0.951536238193512,0.31894075870513916,0.9208251237869263,0.9117246866226196,0.296612948179245,5e-05
3,0.9029061794281006,0.9513839483261108,0.3517727255821228,0.9067493677139282,0.9195060133934021,0.3500673770904541,5e-05
4,0.8944332003593445,0.9514642953872681,0.38947004079818726,0.8965234160423279,0.9352951645851135,0.3862515389919281,5e-05
5,0.8861521482467651,0.9556524157524109,0.41618308424949646,0.89980149269104,0.917258083820343,0.38635310530662537,5e-05
6,0.8816483020782471,0.956231951713562,0.4308795928955078,0.8847086429595947,0.9483343362808228,0.42831259965896606,5e-05
7,0.8742579221725464,0.9617311358451843,0.4535406231880188,0.8819643259048462,0.9419812560081482,0.44257956743240356,5e-05
8,0.8686512112617493,0.9646570682525635,0.4710405766963959,0.8827342987060547,0.935100793838501,0.4417489171028137,5e-05
9,0.8653879761695862,0.9651854038238525,0.48115742206573486,0.8781574964523315,0.9427372217178345,0.45449119806289673,5e-05
10,0.8609443306922913,0.9672505855560303,0.49779289960861206,0.8738889098167419,0.9490954279899597,0.4672239124774933,5e-05
11,0.8569808006286621,0.9688020944595337,0.51048344373703,0.8685862421989441,0.9566152691841125,0.4832381308078766,5e-05
12,0.853269100189209,0.9704532623291016,0.5221364498138428,0.8672502040863037,0.9616575837135315,0.488554984331131,5e-05
13,0.850680947303772,0.9709456562995911,0.5313917398452759,0.8727497458457947,0.9665201306343079,0.4753684103488922,5e-05
14,0.8469095826148987,0.9721658229827881,0.5439847111701965,0.8701258897781372,0.9680358171463013,0.48665276169776917,5e-05
15,0.8457727432250977,0.9723010659217834,0.5489699244499207,0.870059609413147,0.9679783582687378,0.48043006658554077,5e-05
16,0.843533456325531,0.9729838371276855,0.5568521618843079,0.8620937466621399,0.9680123329162598,0.5037567615509033,5e-05
17,0.8418139219284058,0.9735243320465088,0.5608764886856079,0.8604505062103271,0.9637084007263184,0.5096721053123474,5e-05
18,0.8407976031303406,0.9737192392349243,0.5665117502212524,0.8597878813743591,0.9565281867980957,0.510570228099823,5e-05
19,0.8386303782463074,0.9746770262718201,0.5732426047325134,0.8661115765571594,0.9456695914268494,0.49266165494918823,5e-05
20,0.8347452282905579,0.9757270216941833,0.5873211026191711,0.8651949763298035,0.9419996738433838,0.49636542797088623,5e-05
21,0.8336353302001953,0.9761549830436707,0.5917094945907593,0.8608343601226807,0.9453129172325134,0.5139632821083069,5e-05
22,0.8314440250396729,0.975981593132019,0.6001046299934387,0.8620272874832153,0.9451364278793335,0.5114107728004456,5e-05
23,0.8299937844276428,0.9762751460075378,0.6036745309829712,0.8473080992698669,0.9655320644378662,0.5574289560317993,5e-05
24,0.828772783279419,0.9765927195549011,0.6094355583190918,0.8447733521461487,0.9685266017913818,0.5669978260993958,5e-05
25,0.8260634541511536,0.9776686429977417,0.6191490888595581,0.8448728322982788,0.9684191942214966,0.5666456818580627,5e-05
26,0.8244426250457764,0.9777616858482361,0.6265902519226074,0.847037672996521,0.9631439447402954,0.5606979131698608,5e-05
27,0.8234987854957581,0.9780083298683167,0.6301254630088806,0.8426180481910706,0.9684485793113708,0.5744404792785645,5e-05
28,0.8241915702819824,0.9778614640235901,0.6278260350227356,0.8431722521781921,0.9665173292160034,0.5735051035881042,5e-05
29,0.8229242563247681,0.9779718518257141,0.6334072947502136,0.8440420031547546,0.9673305749893188,0.5690964460372925,5e-05
30,0.8213056325912476,0.9789224863052368,0.6388971209526062,0.8432116508483887,0.9683138132095337,0.5721881985664368,5e-05
31,0.8187996745109558,0.9795741438865662,0.6484708786010742,0.8447297811508179,0.9650702476501465,0.5663092136383057,5e-05
32,0.8176857829093933,0.9801136255264282,0.6525999903678894,0.838138222694397,0.9709470868110657,0.5879385471343994,5e-05
33,0.8160698413848877,0.9807325005531311,0.659280002117157,0.8410888910293579,0.9657956957817078,0.5798784494400024,5e-05
34,0.8155732750892639,0.9804057478904724,0.6612765789031982,0.8412414789199829,0.963405966758728,0.5793490409851074,5e-05
35,0.8158368468284607,0.9800417423248291,0.6607236266136169,0.8394994139671326,0.9666714072227478,0.5858200192451477,5e-05
36,0.8149656057357788,0.9807302355766296,0.6638233065605164,0.838123083114624,0.9680061936378479,0.5903376936912537,5e-05
37,0.8131894469261169,0.9811939001083374,0.6703894734382629,0.8390555381774902,0.9692279696464539,0.5860661268234253,5e-05
38,0.8139362931251526,0.9809402227401733,0.6680043339729309,0.8357366323471069,0.9714199304580688,0.5986215472221375,5e-05
39,0.8124043941497803,0.9812704920768738,0.6741684675216675,0.8351771235466003,0.972715437412262,0.6010661721229553,5e-05
40,0.8104842901229858,0.9818759560585022,0.6815208792686462,0.8360221982002258,0.9738773703575134,0.5976874828338623,5e-05
41,0.8095703125,0.9823880791664124,0.6845981478691101,0.8328726291656494,0.9748569130897522,0.6081804037094116,5e-05
42,0.8096177577972412,0.9824617505073547,0.6847242712974548,0.8333863019943237,0.9740146994590759,0.6070970892906189,5e-05
43,0.8086870908737183,0.9827078580856323,0.6884491443634033,0.8348932862281799,0.9741582274436951,0.6024478077888489,5e-05
44,0.806861937046051,0.9834454655647278,0.6958277821540833,0.830905556678772,0.9757846593856812,0.615364134311676,5e-05
45,0.8065710663795471,0.9835699796676636,0.6972227692604065,0.8293684124946594,0.9762067198753357,0.6207991242408752,5e-05
46,0.8060280084609985,0.9836044311523438,0.6996455192565918,0.8294750452041626,0.9753578305244446,0.6194764971733093,5e-05
47,0.8065949082374573,0.9834317564964294,0.6975098252296448,0.8288199305534363,0.9756139516830444,0.622349202632904,5e-05
48,0.8067111372947693,0.9835394620895386,0.696580708026886,0.8315342664718628,0.9723425507545471,0.6145050525665283,5e-05
49,0.8042275309562683,0.9841440916061401,0.7070186138153076,0.8279249668121338,0.9754024147987366,0.6263207793235779,5e-05
50,0.8028802275657654,0.9847317337989807,0.7122796177864075,0.8280478119850159,0.9756654500961304,0.6263519525527954,5e-05
51,0.8022890090942383,0.9847738146781921,0.7144570350646973,0.8290717005729675,0.9737383127212524,0.6213346123695374,5e-05
52,0.8043012619018555,0.9844029545783997,0.7066022157669067,0.8359171152114868,0.9660958051681519,0.5988049507141113,5e-05
53,0.8035469651222229,0.9841563701629639,0.7100175023078918,0.8318521976470947,0.9721639752388,0.6109562516212463,5e-05
54,0.801899254322052,0.984858512878418,0.7160291075706482,0.8309724926948547,0.9721707701683044,0.614876389503479,5e-05
55,0.8014316558837891,0.984934389591217,0.7191161513328552,0.8308457136154175,0.9732102751731873,0.6159563660621643,5e-05
56,0.8006972670555115,0.9852300882339478,0.7226099967956543,0.8325638175010681,0.9703720808029175,0.611148476600647,5e-05
57,0.8001432418823242,0.9853197336196899,0.7243141531944275,0.827052891254425,0.9751772880554199,0.6306565403938293,5e-05
58,0.7989919185638428,0.9856888651847839,0.72955322265625,0.8295699954032898,0.9727935194969177,0.6223464012145996,5e-05
59,0.799056351184845,0.9856424927711487,0.7292203903198242,0.8295865058898926,0.9753261804580688,0.6211252808570862,5e-05
60,0.7981120347976685,0.9860396981239319,0.7326722741127014,0.8277855515480042,0.9768651127815247,0.6290010809898376,5e-05
61,0.7978910803794861,0.9860528707504272,0.7345209717750549,0.828697681427002,0.9774824976921082,0.6272822618484497,5e-05
62,0.7973037958145142,0.9864214062690735,0.7366079092025757,0.8290229439735413,0.9778317213058472,0.625374972820282,5e-05
63,0.7974156737327576,0.9863601922988892,0.7364705801010132,0.8306460976600647,0.9770282506942749,0.6215797066688538,5e-05
64,0.7961607575416565,0.9866575002670288,0.741909921169281,0.8282467126846313,0.9769062399864197,0.6272823214530945,5e-05
65,0.7952768802642822,0.9871055483818054,0.7456576824188232,0.830152690410614,0.976265549659729,0.6219619512557983,5e-05
66,0.7950752973556519,0.986998438835144,0.7466335892677307,0.8298168778419495,0.9776683449745178,0.6260982155799866,5e-05
67,0.7953345775604248,0.987012505531311,0.7449447512626648,0.8270761370658875,0.9783271551132202,0.6320635080337524,5e-05
68,0.7964608073234558,0.9864494800567627,0.7407374382019043,0.8310964107513428,0.9764217138290405,0.6189667582511902,5e-05
69,0.7950194478034973,0.9870012402534485,0.7470531463623047,0.8309029340744019,0.9757184386253357,0.6199274063110352,5e-05
70,0.7945299744606018,0.9871246218681335,0.74974125623703,0.8289110064506531,0.9782619476318359,0.6270866990089417,5e-05
71,0.7929808497428894,0.9876296520233154,0.7562753558158875,0.8287471532821655,0.9786884188652039,0.6242751479148865,5e-05
72,0.7927215099334717,0.9877742528915405,0.7579805254936218,0.8296555876731873,0.9782658219337463,0.6214924454689026,5e-05
73,0.7945377826690674,0.9874230027198792,0.7494957447052002,0.8300359845161438,0.9781330227851868,0.6182349920272827,5e-05
74,0.7945002913475037,0.9871249794960022,0.7496452331542969,0.8246973156929016,0.9789900779724121,0.6386615633964539,5e-05
75,0.7931420207023621,0.9874246716499329,0.7556952834129333,0.8264859914779663,0.9772078394889832,0.6327488422393799,5e-05
76,0.7920559048652649,0.9878993630409241,0.7608137726783752,0.8266391158103943,0.9781588912010193,0.6344953179359436,5e-05
77,0.7919977903366089,0.9879392385482788,0.7610962390899658,0.8253008127212524,0.9785606265068054,0.6380054950714111,5e-05
78,0.791452944278717,0.9882176518440247,0.763392984867096,0.8244703412055969,0.9791878461837769,0.6424089074134827,5e-05
79,0.7908629775047302,0.9883148074150085,0.7667715549468994,0.824289083480835,0.9787850379943848,0.6434205770492554,5e-05
80,0.7903199195861816,0.9884159564971924,0.7693601846694946,0.8242616057395935,0.9792205095291138,0.6411918997764587,5e-05
81,0.7899492979049683,0.9886683821678162,0.7706941962242126,0.8264270424842834,0.9786511063575745,0.6329026222229004,5e-05
82,0.7903955578804016,0.9885285496711731,0.7682644724845886,0.8260117173194885,0.978165328502655,0.6364023089408875,5e-05
83,0.7907401323318481,0.9884099960327148,0.7666996717453003,0.8268504738807678,0.9779540300369263,0.6264108419418335,5e-05
84,0.7906326651573181,0.988558828830719,0.7673149108886719,0.8255478143692017,0.9784287810325623,0.6348357796669006,5e-05
85,0.7908664345741272,0.9882819652557373,0.7662462592124939,0.8266798257827759,0.9777166247367859,0.6318557262420654,5e-05
86,0.7903088331222534,0.9884909987449646,0.7695310115814209,0.8275735974311829,0.9770124554634094,0.6281660795211792,5e-05
87,0.7899970412254333,0.9885140657424927,0.7704808115959167,0.8274193406105042,0.9748711585998535,0.6288437247276306,5e-05
88,0.7911114692687988,0.9882251024246216,0.7653369903564453,0.8332771062850952,0.9779232144355774,0.610802173614502,5e-05
89,0.7916286587715149,0.9879584312438965,0.7630292773246765,0.8386479020118713,0.9747973680496216,0.5888338088989258,5e-05
90,0.791498064994812,0.9883566498756409,0.763653576374054,0.8327852487564087,0.9755259156227112,0.6076194643974304,5e-05
91,0.7916845083236694,0.9883149266242981,0.7633094191551208,0.8350277543067932,0.9724588990211487,0.5996032357215881,5e-05
92,0.7902292609214783,0.9884895086288452,0.7689816355705261,0.8247184157371521,0.9769591689109802,0.6407797336578369,5e-05
93,0.7891980409622192,0.9887019395828247,0.7745080590248108,0.8243698477745056,0.9773581027984619,0.6425966620445251,5e-05
94,0.7888602614402771,0.9889767169952393,0.7761508226394653,0.8238109350204468,0.9735459685325623,0.6414546966552734,5e-05
95,0.7886428833007812,0.9889680743217468,0.7770933508872986,0.8226434588432312,0.9759383797645569,0.6428850889205933,5e-05
96,0.7887089848518372,0.9886618256568909,0.7762446403503418,0.820167601108551,0.9792959094047546,0.6544138193130493,5e-05
97,0.788638710975647,0.9887126088142395,0.7771090865135193,0.8211808204650879,0.9800628423690796,0.6514407992362976,5e-05
98,0.7891268730163574,0.9887670874595642,0.7749677896499634,0.8268322348594666,0.9790358543395996,0.6335145831108093,5e-05
99,0.7887431979179382,0.9886918663978577,0.7769076228141785,0.830380916595459,0.9781805276870728,0.6313776969909668,5e-05
